atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z
"['Ba', 'Ba', 'Ba', 'Ba', 'Mg', 'Mg', 'Mg', 'Mg', 'Mn', 'Mn', 'Mn', 'Mn', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.31619200', '0.81619200', '0.68380800', '0.18380800', '0.39793300', '0.89793300', '0.10206700', '0.60206700', '0.61026800', '0.38973200', '0.88973200', '0.11026800', '0.44374200', '0.04652600', '0.72232700', '0.27767300', '0.45851000', '0.81357900', '0.77894000', '0.95851000', '0.45347400', '0.22232700', '0.05625800', '0.55625800', '0.27894000', '0.95910900', '0.54149000', '0.04149000', '0.22106000', '0.94374200', '0.45910900', '0.95347400', '0.04089100', '0.72106000', '0.54089100', '0.31357900', '0.18642100', '0.68642100', '0.54652600', '0.77767300']","['0.72749200', '0.27250800', '0.27250800', '0.72749200', '0.30695800', '0.69304200', '0.30695800', '0.69304200', '0.80753700', '0.19246300', '0.80753700', '0.19246300', '0.86995500', '0.62826400', '0.52105300', '0.47894700', '0.11523500', '0.73980700', '0.96631100', '0.88476500', '0.62826400', '0.47894700', '0.86995500', '0.13004500', '0.03368900', '0.61812500', '0.88476500', '0.11523500', '0.03368900', '0.13004500', '0.38187500', '0.37173600', '0.38187500', '0.96631100', '0.61812500', '0.26019300', '0.26019300', '0.73980700', '0.37173600', '0.52105300']","['0.50010400', '0.99989600', '0.49989600', '0.00010400', '0.80947300', '0.69052700', '0.30947300', '0.19052700', '0.81209600', '0.18790400', '0.31209600', '0.68790400', '0.12450500', '0.36707900', '0.74345000', '0.25655000', '0.36451000', '0.49273700', '0.74875300', '0.13549000', '0.86707900', '0.75655000', '0.62450500', '0.87549500', '0.75124700', '0.87805300', '0.63549000', '0.86451000', '0.25124700', '0.37549500', '0.62194700', '0.63292100', '0.12194700', '0.24875300', '0.37805300', '0.00726300', '0.50726300', '0.99273700', '0.13292100', '0.24345000']"
"['Sr', 'Sr', 'Sr', 'Sr', 'Y', 'Y', 'Y', 'Y', 'Ni', 'Ni', 'Ni', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.85227900', '0.14772100', '0.62960200', '0.37039800', '0.50000000', '0.00000000', '0.20433200', '0.79566800', '0.92288300', '0.07711700', '0.57714100', '0.42285900', '0.81956000', '0.18044000', '0.70217000', '0.29783000', '0.32122200', '0.67877800', '0.17738700', '0.82261300', '0.80123600', '0.19876400', '0.36143500', '0.63856500', '0.18731000', '0.81269000']","['0.83550100', '0.11282300', '0.61282300', '0.33550100', '0.47194200', '0.97194200', '0.76764500', '0.26764500', '0.39276400', '0.54702200', '0.04702200', '0.89276400', '0.66862200', '0.16862200', '0.67117800', '0.79023000', '0.29023000', '0.17117800', '0.14643600', '0.27028500', '0.77028500', '0.64643600', '0.78984000', '0.11571500', '0.61571500', '0.28984000']","['0.96510300', '0.98322200', '0.96510300', '0.98322200', '0.97194200', '0.97194200', '0.47197700', '0.56331300', '0.46990500', '0.46988100', '0.46990500', '0.46988100', '0.98818200', '0.84906200', '0.49240000', '0.96900800', '0.49240000', '0.96900800', '0.44767200', '0.96904900', '0.44767200', '0.96904900', '0.47715000', '0.42840500', '0.47715000', '0.42840500']"
"['Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.75000000', '0.25000000', '0.62500000', '0.87500000', '0.87500000', '0.62500000', '0.25000000', '0.75000000', '0.37500000', '0.12500000', '0.12500000', '0.37500000', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.37500000', '0.62500000', '0.62500000', '0.25000000', '0.87500000', '0.75000000', '0.25000000', '0.75000000', '0.12500000', '0.37500000', '0.87500000', '0.12500000', '0.51634600', '0.81522300', '0.79887700', '0.41724800', '0.88162800', '0.68477700', '0.81522300', '0.39797400', '0.61837200', '0.41724900', '0.39797400', '0.10202600', '0.98365400', '0.79887700', '0.51634600', '0.70112300', '0.08275100', '0.98365400', '0.08275100', '0.38162800', '0.61837200', '0.10202600', '0.70112300', '0.68477700', '0.48365400', '0.18477700', '0.20112300', '0.58275100', '0.11837200', '0.31522300', '0.18477700', '0.60202600', '0.31522300', '0.29887700', '0.89797400', '0.11837200', '0.38162800', '0.91724800', '0.01634600', '0.91724900', '0.29887700', '0.48365400', '0.20112300', '0.01634600', '0.89797400', '0.60202600', '0.58275200', '0.88162800']","['0.62500000', '0.87500000', '0.25000000', '0.75000000', '0.62500000', '0.87500000', '0.37500000', '0.12500000', '0.75000000', '0.25000000', '0.37500000', '0.12500000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.62500000', '0.37500000', '0.75000000', '0.12500000', '0.25000000', '0.37500000', '0.62500000', '0.87500000', '0.75000000', '0.25000000', '0.12500000', '0.87500000', '0.39797400', '0.51634600', '0.88162800', '0.10202600', '0.39797400', '0.08275100', '0.79887700', '0.81522300', '0.70112300', '0.81522300', '0.08275100', '0.98365400', '0.68477700', '0.41724800', '0.61837200', '0.51634600', '0.88162800', '0.79887700', '0.70112300', '0.29887700', '0.41724800', '0.61837200', '0.68477700', '0.10202600', '0.60202600', '0.48365400', '0.11837200', '0.89797400', '0.60202600', '0.91724800', '0.20112300', '0.18477700', '0.89797400', '0.31522300', '0.38162800', '0.01634600', '0.58275100', '0.29887700', '0.20112300', '0.11837200', '0.48365400', '0.38162800', '0.58275100', '0.31522300', '0.01634600', '0.91724800', '0.18477700', '0.98365400']","['0.87500000', '0.62500000', '0.87500000', '0.62500000', '0.25000000', '0.75000000', '0.12500000', '0.37500000', '0.12500000', '0.37500000', '0.75000000', '0.25000000', '0.50000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.75000000', '0.25000000', '0.37500000', '0.87500000', '0.12500000', '0.62500000', '0.37500000', '0.12500000', '0.87500000', '0.62500000', '0.75000000', '0.25000000', '0.81522300', '0.39797400', '0.98365400', '0.61837200', '0.08275100', '0.70112300', '0.41724800', '0.51634600', '0.51634600', '0.79887700', '0.88162800', '0.68477700', '0.10202600', '0.81522300', '0.70112300', '0.61837200', '0.39797400', '0.88162800', '0.68477700', '0.48365400', '0.10202600', '0.41724800', '0.08275100', '0.98365400', '0.18477700', '0.60202600', '0.01634600', '0.38162800', '0.91724900', '0.29887700', '0.58275100', '0.48365400', '0.01634600', '0.91724800', '0.58275200', '0.20112300', '0.89797400', '0.31522300', '0.11837200', '0.60202600', '0.38162800', '0.29887700', '0.18477700', '0.89797400', '0.31522300', '0.11837200', '0.20112300', '0.79887700']"
"['Ca', 'Ca', 'Ni', 'Ni', 'Ni', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.01380400', '0.62485300', '0.23312100', '0.63910100', '0.11390200', '0.63910100', '0.36298100', '0.83649200', '0.36298100', '0.34650800', '0.87413800', '0.87698100', '0.44905800', '0.87698100']","['0.01380400', '0.62485300', '0.23312100', '0.63910100', '0.63910100', '0.11390200', '0.83649200', '0.36298100', '0.36298100', '0.34650800', '0.87413800', '0.87698100', '0.87698100', '0.44905800']","['0.01380400', '0.62485300', '0.23312100', '0.11390200', '0.63910100', '0.63910100', '0.36298100', '0.36298100', '0.83649200', '0.34650800', '0.87413800', '0.44905800', '0.87698100', '0.87698100']"
"['Mn', 'Mn', 'Mn', 'Mn', 'Al', 'Al', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.12500000', '0.12500000', '0.12500000', '0.62500000', '0.75000000', '0.50000000', '0.87469300', '0.87407800', '0.37530700', '0.37530700', '0.37592200', '0.37530700', '0.87469300', '0.87469300']","['0.12500000', '0.12500000', '0.62500000', '0.12500000', '0.75000000', '0.50000000', '0.37592200', '0.37530700', '0.37530700', '0.37530700', '0.87469300', '0.87407800', '0.87469300', '0.87469300']","['0.62500000', '0.12500000', '0.12500000', '0.12500000', '0.75000000', '0.50000000', '0.87469300', '0.37530700', '0.87407800', '0.37530700', '0.87469300', '0.37530700', '0.37592200', '0.87469300']"
"['Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.33333300', '0.00000000', '0.66666700', '0.66666700', '0.00000000', '0.00000000', '0.32456000', '0.83772000', '0.99608800', '0.83772000', '0.50195600', '0.33333300', '0.33333300', '0.65452500', '0.50195600', '0.17273700', '0.17273700', '0.66666700', '0.71158000', '0.00000000', '0.14421000', '0.14421000', '0.36997400', '0.51129600', '0.66666700', '0.51129600', '0.66666700', '0.81501300', '0.81501300', '0.97740800', '0.06675500', '0.19798500', '0.19798500', '0.33333300', '0.33333300', '0.46662200', '0.46662200', '0.60403000', '0.82468500', '0.82468500', '0.00000000', '0.35063100']","['0.66666700', '0.00000000', '0.33333300', '0.33333300', '0.00000000', '0.00000000', '0.16228000', '0.67544000', '0.49804400', '0.16228000', '0.00391200', '0.66666700', '0.66666700', '0.82726300', '0.49804400', '0.34547500', '0.82726300', '0.33333300', '0.85579000', '0.00000000', '0.28842000', '0.85579000', '0.18498700', '0.48870400', '0.33333300', '0.02259200', '0.33333300', '0.63002600', '0.18498700', '0.48870400', '0.53337800', '0.80201500', '0.39597000', '0.66666700', '0.66666700', '0.93324500', '0.53337800', '0.80201500', '0.17531500', '0.64936900', '0.00000000', '0.17531500']","['0.04680900', '0.38591800', '0.33584800', '0.74542300', '0.98937900', '0.62567600', '0.16558900', '0.16558900', '0.51072500', '0.16558900', '0.51072500', '0.66161600', '0.27667400', '0.82703400', '0.51072500', '0.82703400', '0.82703400', '0.95315700', '0.10122400', '0.24163800', '0.10122400', '0.10122400', '0.45061200', '0.22956300', '0.58891800', '0.22956300', '0.07616100', '0.45061200', '0.45061200', '0.22956300', '0.73829800', '0.57735800', '0.57735800', '0.89329800', '0.41778600', '0.73829800', '0.73829800', '0.57735800', '0.89591400', '0.89591400', '0.77264500', '0.89591400']"
"['Zn', 'Zn', 'Fe', 'Fe', 'Fe', 'Fe', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.50000000', '0.75000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000', '0.36073300', '0.33219800', '0.88926700', '0.88926700', '0.36073300', '0.36073300', '0.88926700', '0.91780200']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000', '0.36073300', '0.88926700', '0.88926700', '0.33219800', '0.36073300', '0.91780200', '0.88926700', '0.36073300']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.12500000', '0.62500000', '0.36073300', '0.88926700', '0.33219800', '0.88926700', '0.91780200', '0.36073300', '0.88926700', '0.36073300']"
"['Ba', 'Ba', 'Ba', 'Ba', 'Ca', 'Ca', 'Ca', 'Ca', 'Ti', 'Ti', 'Ti', 'Ti', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.32528400', '0.82528400', '0.67471600', '0.17471600', '0.40577500', '0.90577500', '0.09422500', '0.59422500', '0.61729500', '0.38270500', '0.88270500', '0.11729500', '0.42438900', '0.04652000', '0.70542900', '0.29457100', '0.45975100', '0.80006000', '0.77636700', '0.95975100', '0.45348000', '0.20542900', '0.07561100', '0.57561100', '0.27636700', '0.96098300', '0.54024900', '0.04024900', '0.22363300', '0.92438900', '0.46098300', '0.95348000', '0.03901700', '0.72363300', '0.53901700', '0.30006000', '0.19994000', '0.69994000', '0.54652000', '0.79457100']","['0.72883700', '0.27116300', '0.27116300', '0.72883700', '0.30021800', '0.69978200', '0.30021800', '0.69978200', '0.80995800', '0.19004200', '0.80995800', '0.19004200', '0.89542700', '0.65480600', '0.52374400', '0.47625600', '0.09552800', '0.72604400', '0.98822600', '0.90447200', '0.65480600', '0.47625600', '0.89542700', '0.10457300', '0.01177400', '0.60427100', '0.90447200', '0.09552800', '0.01177400', '0.10457300', '0.39572900', '0.34519400', '0.39572900', '0.98822600', '0.60427100', '0.27395600', '0.27395600', '0.72604400', '0.34519400', '0.52374400']","['0.50301800', '0.99698200', '0.49698200', '0.00301800', '0.81800400', '0.68199600', '0.31800400', '0.18199600', '0.80839200', '0.19160800', '0.30839200', '0.69160800', '0.10904900', '0.37129000', '0.74378100', '0.25621900', '0.35854500', '0.47951700', '0.74605300', '0.14145500', '0.87129000', '0.75621900', '0.60904900', '0.89095100', '0.75394700', '0.88483900', '0.64145500', '0.85854500', '0.25394700', '0.39095100', '0.61516100', '0.62871000', '0.11516100', '0.24605300', '0.38483900', '0.02048300', '0.52048300', '0.97951700', '0.12871000', '0.24378100']"
"['La', 'La', 'Cr', 'Cr', 'Ag', 'Ag', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.40629700', '0.59370300', '0.16014500', '0.83985500', '0.21895600', '0.78104400', '0.69718900', '0.04922100', '0.14789100', '0.66296900', '0.58812900', '0.21764900', '0.30281100', '0.95077900', '0.85210900', '0.33703100', '0.41187100', '0.78235100']","['0.84954600', '0.84954600', '0.94362800', '0.94362800', '0.51290800', '0.51290800', '0.37286000', '0.11058200', '0.78311200', '0.19019900', '0.83406100', '0.66334000', '0.37286000', '0.11058200', '0.78311200', '0.19019900', '0.83406100', '0.66334000']","['0.23645700', '0.73645700', '0.56990000', '0.06990000', '0.98912900', '0.48912900', '0.71054100', '0.07334200', '0.43217600', '0.03374000', '0.46459100', '0.73991900', '0.21054100', '0.57334200', '0.93217600', '0.53374000', '0.96459100', '0.23991900']"
"['Mg', 'Mg', 'Ni', 'Ni', 'Ni', 'Ni', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.87331100', '0.12435700', '0.50085800', '0.49965100', '0.00090800', '0.49994500', '0.73269500', '0.26723900', '0.26784200', '0.70111300', '0.73357700', '0.29745200', '0.26633100', '0.73472600']","['0.87827800', '0.12220600', '0.50079400', '0.49989500', '0.49992600', '0.99942700', '0.73422400', '0.26669000', '0.69896900', '0.26580800', '0.30137400', '0.73460900', '0.26437100', '0.73342300']","['0.87340200', '0.12394700', '0.50061700', '0.00110900', '0.49974200', '0.49970200', '0.73345800', '0.70056000', '0.26784600', '0.26727900', '0.73387000', '0.73461000', '0.26579300', '0.29806700']"
"['Sc', 'Sc', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.66666700', '0.33333300', '0.30229000', '0.15114500', '0.84885500', '0.15114500', '0.69771000', '0.84885500', '0.83138800', '0.66277600', '0.16861200', '0.83138800', '0.33722400', '0.16861200', '0.51568200', '0.03136400', '0.48431800', '0.51568200', '0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.48431800', '0.96863600']","['0.33333300', '0.66666700', '0.15114500', '0.84885500', '0.69771000', '0.30229000', '0.84885500', '0.15114500', '0.16861200', '0.83138800', '0.33722400', '0.66277600', '0.16861200', '0.83138800', '0.48431800', '0.51568200', '0.96863600', '0.03136400', '0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.51568200', '0.48431800']","['0.00635100', '0.50635100', '0.75090100', '0.25090100', '0.75090100', '0.25090100', '0.25090100', '0.75090100', '0.13606300', '0.63606300', '0.63606300', '0.13606300', '0.13606300', '0.63606300', '0.86059700', '0.36059700', '0.36059700', '0.86059700', '0.38853500', '0.88853500', '0.15443900', '0.65443900', '0.36059700', '0.86059700']"
"['Ba', 'Ba', 'Tl', 'Tl', 'Bi', 'Bi', 'Bi', 'Bi', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.16492700', '0.83510100', '0.72625100', '0.27402700', '0.53330600', '0.39366600', '0.60615200', '0.46686900', '0.37349500', '0.54706500', '0.23071300', '0.95306600', '0.76900300', '0.12643000', '0.62632200', '0.31599400', '0.87340800', '0.04737700', '0.45286300', '0.68396200']","['0.16497900', '0.83510800', '0.72664100', '0.27408100', '0.53332400', '0.39377400', '0.60623000', '0.46687500', '0.87347200', '0.04705000', '0.22998900', '0.45300500', '0.76885400', '0.62645500', '0.12649100', '0.31608000', '0.37352000', '0.54748400', '0.95292100', '0.68366700']","['0.33031900', '0.66980500', '0.45229000', '0.54764500', '0.06706200', '0.78777200', '0.21204100', '0.93329700', '0.74702600', '0.09469000', '0.46129100', '0.90549700', '0.53834300', '0.25283500', '0.25274700', '0.63180200', '0.74699600', '0.09541900', '0.90522800', '0.36789400']"
"['Ca', 'Ca', 'Ca', 'Ca', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.34468400', '0.65531600', '0.02856300', '0.97143700', '0.01053400', '0.01053400', '0.98946600', '0.98946600', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.34459400', '0.34459400', '0.65540600', '0.65540600', '0.68096100', '0.68096100', '0.31903900', '0.31903900', '0.16158800', '0.16158800', '0.83841200', '0.83841200', '0.83841200', '0.83841200', '0.16158800', '0.16158800']","['0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.25321700', '0.74678300', '0.75321700', '0.24678300', '0.24678300', '0.75321700', '0.74678300', '0.25321700']","['0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.23928300', '0.76071700', '0.26071700', '0.73928300', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.15112400', '0.84887600', '0.34887600', '0.65112400', '0.33771400', '0.66228600', '0.16228600', '0.83771400', '0.35381100', '0.64618900', '0.14618900', '0.85381100', '0.14618900', '0.85381100', '0.35381100', '0.64618900']"
"['Ca', 'Ca', 'Ca', 'Cu', 'Cu', 'O', 'O', 'O', 'O', 'O', 'O']","['0.84309200', '0.84172200', '0.14840900', '0.50705500', '0.51288500', '0.98677400', '0.99117800', '0.35711200', '0.34624500', '0.65546900', '0.66090600']","['0.84309200', '0.84172200', '0.14840900', '0.50705500', '0.51288500', '0.98677400', '0.99117800', '0.35711200', '0.34624500', '0.65546900', '0.66090600']","['0.81975100', '0.33953800', '0.17285900', '0.98409200', '0.50615800', '0.02540900', '0.48649900', '0.58355400', '0.06672400', '0.95438000', '0.38561300']"
"['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.68069000', '0.50111400', '0.33121700', '0.16498200', '0.99970700', '0.16451900', '0.66811000', '0.49912500', '0.33238900', '0.83339000', '0.83288100', '0.33649600', '0.30360000', '0.84694500', '0.97916100', '0.84283800', '0.62497400', '0.48003500', '0.34496800', '0.47410600', '0.18284200', '0.34347800', '0.17562900', '0.04735300', '0.94780100', '0.81929300', '0.65820600', '0.81472900', '0.65774600', '0.52558000', '0.52193600', '0.37982900', '0.17111000', '0.16995300', '0.00995900', '0.66671100']","['0.65552900', '0.50054000', '0.82722500', '0.65968600', '0.00524900', '0.17377400', '0.17321000', '0.00226100', '0.33292000', '0.33362000', '0.83321300', '0.83096900', '0.34561800', '0.35481400', '0.49586400', '0.80508400', '0.67274400', '0.53665400', '0.83536500', '0.96777800', '0.69180800', '0.82862100', '0.13195000', '0.97365100', '0.02676700', '0.88231000', '0.17200300', '0.31039400', '0.16454300', '0.02835400', '0.45194300', '0.32638600', '0.16365900', '0.66938700', '0.50173800', '0.66766500']","['0.16833700', '0.49928700', '0.33347900', '0.16899800', '0.50022700', '0.16803600', '0.66553600', '0.49971700', '0.83374200', '0.83396600', '0.83290400', '0.95470200', '0.10737900', '0.10448700', '0.24600100', '0.10870500', '0.41996800', '0.23916000', '0.08859400', '0.24604800', '0.41761600', '0.56759400', '0.42616100', '0.24258900', '0.74689100', '0.57748300', '0.43116000', '0.58190500', '0.90170300', '0.74389300', '0.74700200', '0.57928300', '0.90155400', '0.90206400', '0.76869500', '0.90003400']"
"['Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Al', 'Al', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.78311100', '0.10512100', '0.44887200', '0.21688900', '0.55112800', '0.89487900', '0.33387500', '0.66612500', '0.22373200', '0.55850500', '0.88637200', '0.77626800', '0.11362800', '0.44149500', '0.55611900', '0.92113700', '0.24739300', '0.94215400', '0.30689500', '0.65432500', '0.05784600', '0.34567500', '0.69310500', '0.72672400', '0.06256500', '0.38771700', '0.44388100', '0.75260700', '0.07886300', '0.34362800', '0.65637200', '0.00000000', '0.27327600', '0.61228300', '0.93743500']","['0.78311100', '0.10512100', '0.44887200', '0.21688900', '0.55112800', '0.89487900', '0.33387500', '0.66612500', '0.22373200', '0.55850500', '0.88637200', '0.77626800', '0.11362800', '0.44149500', '0.05784600', '0.34567500', '0.69310500', '0.44388100', '0.75260700', '0.07886300', '0.55611900', '0.92113700', '0.24739300', '0.72672400', '0.06256500', '0.38771700', '0.94215400', '0.30689500', '0.65432500', '0.34362800', '0.65637200', '0.00000000', '0.27327600', '0.61228300', '0.93743500']","['0.39684400', '0.39262000', '0.37815800', '0.60315600', '0.62184200', '0.60738000', '0.80124500', '0.19875500', '0.15826000', '0.13831600', '0.12862500', '0.84174000', '0.87137500', '0.86168400', '0.72949600', '0.70143400', '0.72334800', '0.27050400', '0.27665200', '0.29856600', '0.72949600', '0.70143400', '0.72334800', '0.71052600', '0.73503100', '0.73738200', '0.27050400', '0.27665200', '0.29856600', '0.00966300', '0.99033700', '0.00000000', '0.28947400', '0.26261800', '0.26496900']"
"['Zn', 'Zn', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'P', 'P', 'P', 'P', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.25000000', '0.50000000', '0.75000000', '0.00000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.75000000', '0.57490000', '0.25000000', '0.56680900', '0.75000000', '0.75000000', '0.25000000', '0.06680900', '0.25000000', '0.75000000', '0.08159000', '0.25000000', '0.58159000', '0.75000000', '0.75000000', '0.43319100', '0.92510000', '0.42510000', '0.41841000', '0.25000000', '0.75000000', '0.25000000', '0.91841000', '0.93319100', '0.07490000', '0.25000000']","['0.43832200', '0.56167800', '0.64268800', '0.35731200', '0.19913100', '0.00000000', '0.80086900', '0.00000000', '0.77065300', '0.22934700', '0.27884600', '0.72115400', '0.67498200', '0.32501800', '0.64440700', '0.24903900', '0.23563100', '0.76383200', '0.35670700', '0.12284800', '0.64329300', '0.23616800', '0.93938000', '0.06062000', '0.38990800', '0.87715200', '0.61009200', '0.49725700', '0.76436900', '0.23616800', '0.24903900', '0.75096100', '0.38990800', '0.35559300', '0.88007700', '0.11992300', '0.61009200', '0.76383200', '0.75096100', '0.50274300']","['0.15762700', '0.84237300', '0.23338800', '0.76661200', '0.43291800', '0.00000000', '0.56708200', '0.00000000', '0.52450500', '0.47549500', '0.75980900', '0.24019100', '0.90053900', '0.09946100', '0.76421500', '0.38970400', '0.63321800', '0.91990800', '0.56036600', '0.88881800', '0.43963400', '0.08009200', '0.43403600', '0.56596400', '0.78214600', '0.11118200', '0.21785400', '0.97847900', '0.36678200', '0.08009200', '0.38970400', '0.61029600', '0.78214600', '0.23578500', '0.13992500', '0.86007500', '0.21785400', '0.91990800', '0.61029600', '0.02152100']"
"['Ba', 'Ba', 'Ba', 'Ba', 'Ca', 'Ca', 'Ca', 'Ca', 'Cr', 'Cr', 'Cr', 'Cr', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.33358400', '0.83358400', '0.66641600', '0.16641600', '0.40425800', '0.90425800', '0.09574200', '0.59574200', '0.61990900', '0.38009100', '0.88009100', '0.11990900', '0.42708600', '0.03806100', '0.70163100', '0.29836900', '0.45891300', '0.79974300', '0.77193200', '0.95891300', '0.46193900', '0.20163100', '0.07291400', '0.57291400', '0.27193200', '0.95809600', '0.54108700', '0.04108700', '0.22806800', '0.92708600', '0.45809600', '0.96193900', '0.04190400', '0.72806800', '0.54190400', '0.29974300', '0.20025700', '0.70025700', '0.53806100', '0.79836900']","['0.73991900', '0.26008100', '0.26008100', '0.73991900', '0.29992400', '0.70007600', '0.29992400', '0.70007600', '0.81082200', '0.18917800', '0.81082200', '0.18917800', '0.90080800', '0.65987400', '0.53071600', '0.46928400', '0.09431600', '0.72468200', '0.98551800', '0.90568400', '0.65987400', '0.46928400', '0.90080800', '0.09919200', '0.01448200', '0.60507200', '0.90568400', '0.09431600', '0.01448200', '0.09919200', '0.39492800', '0.34012600', '0.39492800', '0.98551800', '0.60507200', '0.27531800', '0.27531800', '0.72468200', '0.34012600', '0.53071600']","['0.50352300', '0.99647700', '0.49647700', '0.00352300', '0.81805700', '0.68194300', '0.31805700', '0.18194300', '0.81099600', '0.18900400', '0.31099600', '0.68900400', '0.11197600', '0.36935300', '0.74295100', '0.25704900', '0.35771200', '0.48176200', '0.75112600', '0.14228800', '0.86935300', '0.75704900', '0.61197600', '0.88802400', '0.74887400', '0.88483700', '0.64228800', '0.85771200', '0.24887400', '0.38802400', '0.61516300', '0.63064700', '0.11516300', '0.25112600', '0.38483700', '0.01823800', '0.51823800', '0.98176200', '0.13064700', '0.24295100']"
